Year_Month,Card_type,Travel_Mode,Trip,DATE
Jun-17,Adult Single Bus Trip 1,Bus,149534,1/06/2017
Jun-17,Adult Single Bus Trip 2,Bus,90172,1/06/2017
Jun-17,Adult Single Bus Trip 3,Bus,35967,1/06/2017
Jun-17,Child/Youth,Bus,1066813,1/06/2017
Jun-17,Child/Youth Single Bus Trip 1,Bus,38891,1/06/2017
Jun-17,Child/Youth Single Bus Trip 2,Bus,25954,1/06/2017
Jun-17,Child/Youth Single Bus Trip 3,Bus,7945,1/06/2017
Jun-17,Concession,Bus,1472712,1/06/2017
Jun-17,Employee,Bus,69266,1/06/2017
Jun-17,Free Travel,Bus,35256,1/06/2017
Jun-17,School Student,Bus,2499684,1/06/2017
Jun-17,Senior/Pensioner,Bus,3904931,1/06/2017
Jun-17,Adult,Ferry,791353,1/06/2017
Jun-17,Child/Youth,Ferry,94767,1/06/2017
Jun-17,Concession,Ferry,26673,1/06/2017
Jun-17,Employee,Ferry,5164,1/06/2017
Jun-17,Free Travel,Ferry,2211,1/06/2017
Jun-17,School Student,Ferry,1764,1/06/2017
Jun-17,Senior/Pensioner,Ferry,180835,1/06/2017
Jun-17,Sgl Trip Ferry Adult,Ferry,42949,1/06/2017
Jun-17,Sgl Trip Ferry Child/Youth,Ferry,10431,1/06/2017
Jun-17,Adult,Light Rail,615981,1/06/2017
Jun-17,Child/Youth,Light Rail,39888,1/06/2017
Jun-17,Concession,Light Rail,33781,1/06/2017
Jun-17,Employee,Light Rail,1,1/06/2017
Jun-17,Free Travel,Light Rail,956,1/06/2017
Jun-17,School Student,Light Rail,4961,1/06/2017
Jun-17,Senior/Pensioner,Light Rail,148978,1/06/2017
Jun-17,Sgl Trip LR Adult,Light Rail,2837,1/06/2017
Jun-17,Sgl Trip LR Child/Youth,Light Rail,623,1/06/2017
Jun-17,Adult,Train,24096554,1/06/2017
Jun-17,Child/Youth,Train,1076221,1/06/2017
Jun-17,Concession,Train,1944290,1/06/2017
Jun-17,Employee,Train,308301,1/06/2017
Jun-17,Free Travel,Train,31954,1/06/2017
Jun-17,School Student,Train,1054982,1/06/2017
Jun-17,Senior/Pensioner,Train,2840831,1/06/2017
Jun-17,Sgl Trip Rail Adult,Train,293213,1/06/2017
Jun-17,Sgl Trip Rail Child/Youth,Train,60524,1/06/2017
Jul-17,Adult,Bus,13625495,1/07/2017
Jul-17,Adult Single Bus Trip 1,Bus,159698,1/07/2017
Jul-17,Adult Single Bus Trip 2,Bus,96674,1/07/2017
Jul-17,Adult Single Bus Trip 3,Bus,36141,1/07/2017
Jul-17,Child/Youth,Bus,1386168,1/07/2017
Jul-17,Child/Youth Single Bus Trip 1,Bus,55170,1/07/2017
Jul-17,Child/Youth Single Bus Trip 2,Bus,42041,1/07/2017
Jul-17,Child/Youth Single Bus Trip 3,Bus,12555,1/07/2017
Jul-17,Concession,Bus,1361714,1/07/2017
Jul-17,Employee,Bus,71153,1/07/2017
Jul-17,Free Travel,Bus,36248,1/07/2017
