Year_Month,Card_type,Line,Trip
Oct-16,Concession,South Coast Line,63668
Oct-16,Employee,South Coast Line,7923
Oct-16,Free Travel,South Coast Line,755
Oct-16,School Student,South Coast Line,21041
Oct-16,Senior/Pensioner,South Coast Line,107609
Oct-16,Sgl Trip Rail Adult,South Coast Line,6282
Oct-16,Sgl Trip Rail Child/Youth,South Coast Line,1621
Oct-16,Adult,Southern Highlands Line,48255
Oct-16,Child/Youth,Southern Highlands Line,6759
Oct-16,Concession,Southern Highlands Line,6234
Oct-16,Employee,Southern Highlands Line,852
Oct-16,Free Travel,Southern Highlands Line,217
Oct-16,School Student,Southern Highlands Line,1331
Oct-16,Senior/Pensioner,Southern Highlands Line,18993
Oct-16,Sgl Trip Rail Adult,Southern Highlands Line,612
Oct-16,Sgl Trip Rail Child/Youth,Southern Highlands Line,179
Oct-16,Adult,"T1 North Shore, Northern and Western Line",8778524
Oct-16,Child/Youth,"T1 North Shore, Northern and Western Line",438430
Oct-16,Concession,"T1 North Shore, Northern and Western Line",839434
Oct-16,Employee,"T1 North Shore, Northern and Western Line",110616
Oct-16,Free Travel,"T1 North Shore, Northern and Western Line",11744
Oct-16,School Student,"T1 North Shore, Northern and Western Line",338381
Oct-16,Senior/Pensioner,"T1 North Shore, Northern and Western Line",971764
Oct-16,Sgl Trip Rail Adult,"T1 North Shore, Northern and Western Line",80716
Oct-16,Sgl Trip Rail Child/Youth,"T1 North Shore, Northern and Western Line",22204
Oct-16,Adult,"T2 Airport, Inner West and South Line",5328090
Oct-16,Child/Youth,"T2 Airport, Inner West and South Line",235099
Oct-16,Concession,"T2 Airport, Inner West and South Line",486778
Oct-16,Employee,"T2 Airport, Inner West and South Line",69185
Oct-16,Free Travel,"T2 Airport, Inner West and South Line",6483
Oct-16,School Student,"T2 Airport, Inner West and South Line",133585
Oct-16,Senior/Pensioner,"T2 Airport, Inner West and South Line",610371
Oct-16,Sgl Trip Rail Adult,"T2 Airport, Inner West and South Line",145110
Oct-16,Sgl Trip Rail Child/Youth,"T2 Airport, Inner West and South Line",17857
Oct-16,Adult,T3 Bankstown Line,1691384
Oct-16,Child/Youth,T3 Bankstown Line,91282
Oct-16,Concession,T3 Bankstown Line,168905
Oct-16,Employee,T3 Bankstown Line,15093
Oct-16,Free Travel,T3 Bankstown Line,1361
Oct-16,School Student,T3 Bankstown Line,46327
Oct-16,Senior/Pensioner,T3 Bankstown Line,259218
Oct-16,Sgl Trip Rail Adult,T3 Bankstown Line,15796
Oct-16,Sgl Trip Rail Child/Youth,T3 Bankstown Line,4582
Oct-16,Adult,T4 Eastern Suburbs & Illawarra Line,4042741
Oct-16,Child/Youth,T4 Eastern Suburbs & Illawarra Line,174816
Oct-16,Concession,T4 Eastern Suburbs & Illawarra Line,266306
Oct-16,Employee,T4 Eastern Suburbs & Illawarra Line,47159
Oct-16,Free Travel,T4 Eastern Suburbs & Illawarra Line,6084
Oct-16,School Student,T4 Eastern Suburbs & Illawarra Line,115269
Oct-16,Senior/Pensioner,T4 Eastern Suburbs & Illawarra Line,464795
Oct-16,Sgl Trip Rail Adult,T4 Eastern Suburbs & Illawarra Line,39610
Oct-16,Sgl Trip Rail Child/Youth,T4 Eastern Suburbs & Illawarra Line,9427
Oct-16,Adult,T5 Cumberland Line,349051
Oct-16,Child/Youth,T5 Cumberland Line,15450
Oct-16,Concession,T5 Cumberland Line,39062
Oct-16,Employee,T5 Cumberland Line,2972
Oct-16,Free Travel,T5 Cumberland Line,131
Oct-16,School Student,T5 Cumberland Line,11856
Oct-16,Senior/Pensioner,T5 Cumberland Line,53139
Oct-16,Sgl Trip Rail Adult,T5 Cumberland Line,2151
Oct-16,Sgl Trip Rail Child/Youth,T5 Cumberland Line,522
Oct-16,Adult,T6 Carlingford Line,33920
Oct-16,Child/Youth,T6 Carlingford Line,976
Oct-16,Concession,T6 Carlingford Line,3184
Oct-16,Employee,T6 Carlingford Line,244
Oct-16,Free Travel,T6 Carlingford Line,22
Oct-16,School Student,T6 Carlingford Line,579
Oct-16,Senior/Pensioner,T6 Carlingford Line,3566
Oct-16,Sgl Trip Rail Adult,T6 Carlingford Line,45
Oct-16,Sgl Trip Rail Child/Youth,T6 Carlingford Line,3
Oct-16,Adult,T7 Olympic Park Line,116328
Oct-16,Child/Youth,T7 Olympic Park Line,6631
Oct-16,Concession,T7 Olympic Park Line,9347
Oct-16,Employee,T7 Olympic Park Line,575
Oct-16,Free Travel,T7 Olympic Park Line,41
Oct-16,School Student,T7 Olympic Park Line,1625
Oct-16,Senior/Pensioner,T7 Olympic Park Line,11173
Oct-16,Sgl Trip Rail Adult,T7 Olympic Park Line,1303
Oct-16,Sgl Trip Rail Child/Youth,T7 Olympic Park Line,304
Nov-16,Adult,Blue Mountains Line,585478
Nov-16,Child/Youth,Blue Mountains Line,32013
Nov-16,Concession,Blue Mountains Line,46476
Nov-16,Employee,Blue Mountains Line,12310
Nov-16,Free Travel,Blue Mountains Line,1146
Nov-16,School Student,Blue Mountains Line,28187
Nov-16,Senior/Pensioner,Blue Mountains Line,114496
Nov-16,Sgl Trip Rail Adult,Blue Mountains Line,6042
Nov-16,Sgl Trip Rail Child/Youth,Blue Mountains Line,1427
Nov-16,Adult,Central Coast & Newcastle Line,1126345
Nov-16,Child/Youth,Central Coast & Newcastle Line,68559
Nov-16,Concession,Central Coast & Newcastle Line,94764
